PRT194606051,PAW,PPD,PRT,PPD,,2:30pm,RAINEDOUT,Rain,,
PRT194606052,PAW,PPD,PRT,PPD,,,MAKEUP-RAINEDOUT,Rain,,
MAN194606050,FRV,0,MAN,11,,,MAKEUP,,,
PRV194606060,PRT,5,PRV,17,,8:30pm,,,,
NAS194606061,LYN,1,NAS,8,7,6pm,,,,
NAS194606062,LYN,4,NAS,0,,,MAKEUP,,,
LAW194606060,PAW,5,LAW,4,,8:30pm,,,,
FRV194606060,MAN,3,FRV,1,,8:30pm,,,,
PRV194606070,FRV,5,PRV,0,,8:30pm,,,,
LAW194606070,PRT,PPD,LAW,PPD,,8:30pm,RAINEDOUT,Rain,,
LYN194606070,PAW,1,LYN,2,,8:30pm,,,,
MAN194606070,NAS,PPD,MAN,PPD,,8:15pm,RAINEDOUT,Rain,,
PAW194606081,MAN,5,PAW,7,,3pm,,,,
PAW194606082,MAN,2,PAW,11,,8:30pm,MAKEUP,,,
NAS194606080,LAW,PPD,NAS,PPD,,,RAINEDOUT,Rain,,
FRV194606080,PRV,PPD,FRV,PPD,,8:30pm,RAINEDOUT,Rain: Fall River led 2-0 after 4th inning,,
PRT194606080,LYN,15,PRT,7,,,,,,
PAW194606090,PRV,1,PAW,7,,Afternoon,MAKEUP,,,
PRV194606090,PAW,5,PRV,7,,Night,,,,
NAS194606090,MAN,5,NAS,0,,Afternoon,,,,
MAN194606090,NAS,5,MAN,1,,Night,,,,
LAW194606091,FRV,5,LAW,14,,,,,,
LAW194606092,FRV,3,LAW,8,,,,,,
PRT194606090,LYN,5,PRT,1,,,,,,
PAW194606100,FRV,3,PAW,7,,8:30pm,,,,
NAS194606100,PRT,2,NAS,12,,8:30pm,,,,
LAW194606100,PRV,1,LAW,12,,8:30pm,,,,
MAN194606101,LYN,7,MAN,0,,6pm,,,,
MAN194606102,LYN,1,MAN,3,,,MAKEUP,,,
PAW194606111,PRT,PPD,PAW,PPD,,6:15pm,RAINEDOUT,Rain: Game called after first inning,,
PAW194606112,PRT,6,PAW,11,,9:15pm,MAKEUP-RAINEDOUT,Rain,,
LYN194606110,LAW,PPD,LYN,PPD,,8:30pm,RAINEDOUT,Rain,,
FRV194606111,NAS,PPD,FRV,PPD,,6pm,RAINEDOUT,Rain: Nashua led 1-0 in bottom of 3rd inning,,
FRV194606112,NAS,PPD,FRV,PPD,,8:30pm,MAKEUP-RAINEDOUT,Rain,,
MAN194606110,PRV,PPD,MAN,PPD,,,RAINEDOUT,Rain,,
NAS194606121,PRV,1,NAS,2,,8:30pm,RESUMPTION_OF_PROTESTED_GAME,,,
NAS194606122,PRV,5,NAS,3,,,,,,
LAW194606120,LYN,11,LAW,1,,8:30pm,,,,
FRV194606120,PAW,1,FRV,4,,8:30pm,,,,
MAN194606120,PRT,10,MAN,19,,8:30pm,,,,
PAW194606131,LYN,2,PAW,3,11,6:15pm,,,,
PAW194606132,LYN,0,PAW,3,7,,MAKEUP,,,
NAS194606130,MAN,4,NAS,2,,8:30pm,,,,
FRV194606130,LAW,15,FRV,4,,8:30pm,,,,
PRT194606130,PRV,4,PRT,2,,5:45pm,,,,
LAW194606140,PAW,0,LAW,6,,,,,,
LYN194606140,PRV,2,LYN,3,,,,,,
PRT194606140,NAS,11,PRT,5,,,,,,
MAN194606140,FRV,1,MAN,5,,,,,,
PRV194606151,MAN,9,PRV,4,7,7:30pm,,,,
PRV194606152,MAN,15,PRV,3,7,,MAKEUP,,11:40 pm Curfew,
LAW194606150,NAS,7,LAW,5,,8:30pm,,,,
FRV194606151,LYN,4,FRV,1,7,6pm,,,,
FRV194606152,LYN,7,FRV,3,,,MAKEUP,,,
PRT194606151,PAW,4,PRT,5,,3:15pm,,,,
PRT194606152,PAW,8,PRT,3,7,,MAKEUP,,,
PAW194606160,MAN,4,PAW,7,,8:30pm,,,,
NAS194606160,LYN,2,NAS,6,,8:30pm,,,,
LYN194606160,PAW,3,LYN,4,,3pm,,,,
FRV194606160,PRV,7,FRV,4,,2:30pm,,,,
PRV194606160,FRV,3,PRV,6,,8:30pm,MAKEUP,,,
PRT194606161,LAW,3,PRT,2,,2pm,,,,
PRT194606162,LAW,7,PRT,6,17,,,,,
PAW194606170,FRV,3,PAW,5,,8:30pm,,,,
LAW194606170,PRT,0,LAW,7,,8:30pm,,,,
LYN194606170,NAS,10,LYN,11,10,8:30pm,,,,
MAN194606170,PRV,PPD,MAN,PPD,,,REPLACED_WITH _MLB_EXHIBITION_GAME,,,
PAW194606180,LAW,3,PAW,7,,8:30pm,,,,
NAS194606180,PRV,2,NAS,0,,8:30pm,,,,
LYN194606180,MAN,2,LYN,3,,8:30pm,,,,
FRV194606180,PRT,PPD,FRV,PPD,,8:30pm,RAINEDOUT,Rain,,
NAS194606190,PRT,1,NAS,2,,8:30pm,,,,
LAW194606190,PRV,8,LAW,6,,8:30pm,,,,
LYN194606191,PAW,1,LYN,2,,6:15pm,,,,
LYN194606192,PAW,4,LYN,1,,,MAKEUP,,,
FRV194606191,MAN,5,FRV,4,,7pm,,,,
FRV194606192,MAN,8,FRV,3,,9:30pm,,,,
PRV194606200,LYN,12,PRV,1,,8:30pm,,,,
NAS194606201,PAW,1,NAS,0,7,6:15pm,,,,
NAS194606202,PAW,2,NAS,3,,,MAKEUP,,,
LAW194606201,MAN,7,LAW,5,10,,,,,
LAW194606202,MAN,1,LAW,7,7,,,,,
PRT194606200,FRV,8,PRT,1,,5:45pm,,,,
PAW194606210,PRV,3,PAW,1,,8:30pm,,,,
PRT194606210,NAS,10,PRT,2,,5:45pm,,,,
MAN194606210,FRV,2,MAN,8,,8:30pm,,,,
LYN194606210,LAW,4,LYN,6,,8:30pm,MAKEUP,,,
PRV194606220,LAW,3,PRV,8,,8:30pm,,,,
FRV194606221,NAS,5,FRV,2,7,7pm,,,,
FRV194606222,NAS,5,FRV,3,,9:30pm,MAKEUP,,,
PRT194606221,LYN,14,PRT,6,,2pm,,,,
PRT194606222,LYN,12,PRT,3,7,,,,,
MAN194606221,PAW,1,MAN,10,7,2pm,,,,
MAN194606222,PAW,7,MAN,4,,,MAKEUP,,,
PRV194606231,NAS,8,PRV,4,7,7pm,,,,
PRV194606232,NAS,5,PRV,7,,,,,,
LYN194606230,FRV,8,LYN,9,11,3pm,,,,
PRT194606231,PAW,8,PRT,3,,2pm,,,,
PRT194606232,PAW,19,PRT,11,7,,,,,
MAN194606230,LAW,3,MAN,2,,8:15pm,,,,
PRV194606240,PRT,6,PRV,13,,8:30pm,,,,
NAS194606240,MAN,7,NAS,4,,,,,,
LAW194606240,PAW,3,LAW,7,,8:30pm,,,,
FRV194606241,LYN,7,FRV,5,,7pm,,,,
FRV194606242,LYN,14,FRV,0,8,9:30pm,MAKEUP,,11:45 pm Curfew,
PRV194606250,PAW,2,PRV,3,6,8:30pm,,,,
LYN194606251,PRT,1,LYN,3,7,6:30pm,,,,
LYN194606252,PRT,3,LYN,15,,,MAKEUP,,,
FRV194606250,LAW,PPD,FRV,PPD,,8:30pm,FOGGEDOUT,Fog: Lawrence led 3-0 in top of 1st inning,,
MAN194606250,NAS,PPD,MAN,PPD,,8:15pm,LISTED_IN_JUNE25_PJ_PT_FR_BUT_NOT_JUNE26,,,
PAW194606260,PRT,1,PAW,13,,,,,,
NAS194606260,PRV,4,NAS,8,,,,,,
LAW194606260,FRV,0,LAW,6,,,,,,
LYN194606261,MAN,0,LYN,2,7,,,,,
LYN194606262,MAN,11,LYN,12,,,MAKEUP,,,
NAS194606270,LYN,PPD,NAS,PPD,,8:30pm,RAINEDOUT,Rain,,
LAW194606271,MAN,6,LAW,11,,7pm,,,,
LAW194606272,MAN,5,LAW,0,7,,MAKEUP,,,
FRV194606271,PAW,2,FRV,0,7,7pm,,,,
FRV194606272,PAW,4,FRV,2,,,,,,
PRT194606270,PRV,PPD,PRT,PPD,,3:15pm,RAINEDOUT,Rain,,
PAW194606280,FRV,3,PAW,10,,8:30pm, ,,,
PRV194606281,LAW,9,PRV,0,7,7pm,,,,
PRV194606282,LAW,7,PRV,6,,,MAKEUP,,,
LYN194606280,NAS,4,LYN,3,,8:30pm,,,,
PRT194606281,MAN,PPD,PRT,PPD,,3:15pm?,RAINEDOUT,Rain,,
PRT194606282,MAN,PPD,PRT,PPD,,,MAKEUP-RAINEDOUT,Rain,,
PAW194606290,LYN,4,PAW,5,,8:30pm,,,,
NAS194606291,LAW,4,NAS,8,,6:30pm,,,,
NAS194606292,LAW,PPD,NAS,PPD,,,MAKEUP listed in 0629 papers but not 0630,,,
FRV194606291,PRV,2,FRV,4,,7pm,,,,
FRV194606292,PRV,12,FRV,2,,9:30pm,MAKEUP,,,
MAN194606291,PRT,1,MAN,9,,8:15pm,,,,
MAN194606292,PRT,3,MAN,17,,,MAKEUP not listed in 0629 papers but in 0630,,,
PAW194606300,MAN,2,PAW,4,,8:30pm,,,,
NAS194606301,PRV,8,NAS,3,7,6:30pm,,,,
NAS194606302,PRV,4,NAS,3,,,MAKEUP,,,
LAW194606301,PRT,6,LAW,19,,7pm,,,,
LAW194606302,PRT,2,LAW,8,7,,,,,
LYN194606301,FRV,6,LYN,4,,1:30pm,,,,
LYN194606302,FRV,0,LYN,3,,,MAKEUP,,,
PAW194607010,PRV,5,PAW,2,,8:30pm,,,,
NAS194607010,PRT,1,NAS,5,,8:30pm,,,,
LAW194607010,LYN,4,LAW,5,,8:30pm,,,,
FRV194607011,MAN,9,FRV,3,7,7pm,,,,
FRV194607012,MAN,6,FRV,3,,9:30pm,MAKEUP,,,
PRV194607021,MAN,6,PRV,4,7,7pm,,,,
PRV194607022,MAN,11,PRV,0,,,MAKEUP,,,
LYN194607020,PAW,2,LYN,0,,8:30pm,,,,
FRV194607021,NAS,1,FRV,2,7,7pm,,,,
FRV194607022,NAS,3,FRV,0,,9:30pm,MAKEUP,,,
NAS194607030,PAW,0,NAS,1,,8:30pm,,,,
LYN194607030,PRV,2,LYN,0,,8:30pm,,,,
PRT194607030,LAW,9,PRT,6,,3:15pm,,,,
MAN194607030,FRV,5,MAN,6,10,8:45pm,,,,
NAS194607041,LAW,3,NAS,4,7,6:30pm,,,,
NAS194607042,LAW,0,NAS,2,,,,,,
FRV194607041,LYN,8,FRV,5,8,7pm,,,,
FRV194607042,LYN,8,FRV,4,,9:30pm,,,,
PRT194607041,PRV,7,PRT,8,,2pm,,,,
PRT194607042,PRV,10,PRT,11,7,,,,,
MAN194607041,PAW,3,MAN,0,7,6:30pm,,,,
MAN194607042,PAW,19,MAN,13,,,,,,
PAW194607050,NAS,1,PAW,4,,8:30pm,,,,
PRV194607050,MAN,6,PRV,7,,8:30pm,,,,
LYN194607050,FRV,PPD,LYN,PPD,,,NOT_LISTED_IN_JULY5_PAPERS,,,
LAW194607050,LYN,8,LAW,5,,8:30pm,MAKEUP,,,
PRV194607060,NAS,7,PRV,8,,8:30pm,,,,
FRV194607061,PAW,1,FRV,0,7,7pm,,,,
FRV194607062,PAW,8,FRV,0,,9pm,MAKEUP,,,
PRT194607060,LYN,13,PRT,1,,3:15pm,,,,
MAN194607060,LAW,3,MAN,7,,8:45pm,,,,
PAW194607070,PRV,3,PAW,4,,8:30pm,,,,
LAW194607070,NAS,2,LAW,3,,3pm,,,,
LYN194607070,MAN,2,LYN,6,,3pm,,,,
FRV194607071,PRT,3,FRV,5,,1:30pm,,,,
FRV194607072,PRT,6,FRV,8,7,,,,,
MAN194607070,LYN,13,MAN,6,,8:30pm,,,,
PRV194607080,LYN,10,PRV,9,,8:30pm,,,,
LAW194607081,PAW,1,LAW,7,,7pm,,,,
LAW194607082,PAW,4,LAW,1,7,,MAKEUP,,,
PRT194607080,FRV,10,PRT,5,7,3:15pm,,,,
MAN194607080,NAS,3,MAN,5,,8:30pm,,,,
PRV194607091,LAW,9,PRV,10,7,7pm,,,,
PRV194607092,LAW,2,PRV,6,8,,MAKEUP,,Curfew,
NAS194607090,MAN,1,NAS,2,,8:30pm,,,,
LYN194607090,PAW,0,LYN,10,,8:30pm,,,,
