NAS194609012,FRV,3,NAS,1,
LAW194609011,PRT,0,LAW,16,
MAN194609011,LYN,0,MAN,2,7
PAW194609021,PRT,0,PAW,1,7
PAW194609022,PRT,12,PAW,0,
NAS194609021,LYN,10,NAS,3,7
NAS194609022,LYN,3,NAS,13,
LAW194609021,FRV,5,LAW,2,7
LAW194609022,FRV,3,LAW,15,
MAN194609021,PRV,1,MAN,3,7
MAN194609022,PRV,4,MAN,3,7
