Date,Day,Time,Road,RunsRoad,Home,RunsHome,Innings,DH,OriginalScheduleReference,Rescheduled,LinescoreReference,BoxscoreReference,PostponementReason,ShortenedGameReason,NeutralSiteInfo,Notes,Winner,Loser,Tie
8/26/1946,Mon,,Portland,6,Lawrence,8,,Game2,,MAKEUP,PJ0827 PT0827,,,,,,Lawrence,Portland,
8/26/1946,Mon,8:15pm,Providence,7,Lynn,14,,,BG March 17; TSN May 16,,PT0827,PJ0827,,,,,Lynn,Providence,
8/26/1946,Mon,8:15pm,Fall River,1,Manchester,11,,,BG March 17; TSN May 16,,PT0827,PJ0827 FR0827,,,,,Manchester,Fall River,
8/27/1946,Tue,8:15pm,Pawtucket,,Providence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/27/1946,Tue,8:15pm,Portland,,Nashua,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/27/1946,Tue,6:30pm,Manchester,,Lynn,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/27/1946,Tue,,Manchester,,Lynn,,,Game2,,MAKEUP-RAINEDOUT,,,Rain,,,,,,
8/27/1946,Tue,6:30pm,Lawrence,,Fall River,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,Scheduled 7-inning game,,,
8/27/1946,Tue,8pm,Lawrence,,Fall River,,,Game2,,MAKEUP-RAINEDOUT,,,Rain,,,,,,
8/28/1946,Wed,6:30pm,Lawrence,0,Pawtucket,1,7,Game1,BG March 17; TSN May 16,,,PJ0829 PT0829,,,,Scheduled 7-inning game,Pawtucket,Lawrence,
8/28/1946,Wed,,Lawrence,0,Pawtucket,4,,Game2,,MAKEUP,,PJ0829 PT0829,,,,,Pawtucket,Lawrence,
8/28/1946,Wed,8:15pm,Portland,1,Lynn,11,,,BG March 17; TSN May 16,,BG0829,,,,,,Lynn,Portland,
8/28/1946,Wed,6:30pm,Nashua,7,Fall River,3,7,Game1,BG March 17; TSN May 16,,BG0829,PJ0829 NT0829 FR0829,,,,Scheduled 7-inning game,Nashua,Fall River,
8/28/1946,Wed,,Nashua,11,Fall River,3,,Game2,,MAKEUP,BG0829,PJ0829 NT0829 FR0829,,,,,Nashua,Fall River,
8/28/1946,Wed,6:15pm,Providence,1,Manchester,5,7,Game1,BG March 17; TSN May 16,,,PJ0829,,,,Scheduled 7-inning game,Manchester,Providence,
8/28/1946,Wed,,Providence,4,Manchester,8,,Game2,,MAKEUP,,PJ0829,,,,,Manchester,Providence,
8/29/1946,Thu,8:15pm,Manchester,,Nashua,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/29/1946,Thu,8:15pm,Lynn,,Lawrence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/29/1946,Thu,6:30pm,Pawtucket,0,Fall River,1,11,Game1,BG March 17; TSN May 16,,,PJ0830 PT0830 FR0830,,,,Scheduled 7-inning game,Fall River,Pawtucket,
8/29/1946,Thu,,Pawtucket,4,Fall River,0,,Game2,,MAKEUP,,PJ0830 PT0830 FR0830,,,,,Pawtucket,Fall River,
8/29/1946,Thu,3pm,Providence,4,Portland,3,7,Game1,BG March 17; TSN May 16,,,PJ0830,,Rain,,Game called due to rain,Providence,Portland,
8/29/1946,Thu,,Providence,,Portland,,,Game2,,MAKEUP-RAINEDOUT,,,Rain,,,,,,
8/30/1946,Fri,8:15pm,Providence,3,Pawtucket,13,,,BG March 17; TSN May 16,,,PJ0831 PT0831,,,,,Pawtucket,Providence,
8/30/1946,Fri,8:15pm,Lawrence,1,Lynn,2,,Game1,BG March 17; TSN May 16,,PJ0831 PT0831,,,,,TBD Scheduled 7-inning game?,Lynn,Lawrence,
8/30/1946,Fri,,Lawrence,4,Lynn,7,,Game2,,MAKEUP,PJ0831 PT0831,,,,,,Lynn,Lawrence,
8/30/1946,Fri,3pm,Fall River,0,Portland,6,,Game1,BG March 17; TSN May 16,,PT0831,PJ0831,,,,,Portland,Fall River,
8/30/1946,Fri,,Fall River,2,Portland,9,7,Game2,,MAKEUP,PT0831,PJ0831,,,,,Portland,Fall River,
8/30/1946,Fri,6:15pm,Nashua,2,Manchester,3,7,Game1,BG March 17; TSN May 16,,PJ0831 PT0831,NT0831,,,,,Manchester,Nashua,
8/30/1946,Fri,,Nashua,0,Manchester,1,7,Game2,,MAKEUP,PJ0831 PT0831,NT0831,,,,Scheduled 7-inning game,Manchester,Nashua,
8/31/1946,Sat,8:15pm,Portland,1,Pawtucket,9,,,BG March 17; TSN May 16,,,PJ0901 PT0903,,,,,Pawtucket,Portland,
8/31/1946,Sat,8:15pm,Nashua,7,Providence,6,10,,BG March 17; TSN May 16,,,PJ0901 NT0903,,,,,Nashua,Providence,
8/31/1946,Sat,6:15pm,Manchester,0,Lynn,2,,Game1,BG March 17; TSN May 16,,BG0901,,,,,,Lynn,Manchester,
8/31/1946,Sat,,Manchester,4,Lynn,1,,Game2,,MAKEUP,BG0901,,,,,,Manchester,Lynn,
8/31/1946,Sat,6:30pm,Lawrence,12,Fall River,0,7,Game1,BG March 17; TSN May 16,,BG0901,PJ0901 FR0903,,,,Scheduled 7-inning game,Lawrence,Fall River,
8/31/1946,Sat,8pm,Lawrence,8,Fall River,6,13,Game2,,MAKEUP,BG0901,PJ0901 FR0903,,,,,Lawrence,Fall River,
9/1/1946,Sun,7pm,Pawtucket,4,Providence,6,7,Game1,BG March 17; TSN May 16,,BG0902,PJ0902 PT0903,,,,Scheduled 7-inning game,Providence,Pawtucket,
9/1/1946,Sun,,Pawtucket,3,Providence,19,,Game2,,MAKEUP,BG0902,PJ0902 PT0903,,,,,Providence,Pawtucket,
9/1/1946,Sun,6:30pm,Fall River,2,Nashua,8,7,Game1,BG March 17; TSN May 16,,PJ0902 BG0902,NT0903,,,,Scheduled 7-inning game,Nashua,Fall River,
9/1/1946,Sun,,Fall River,3,Nashua,1,,Game2,BG March 17; TSN May 16,,PJ0902 BG0902,NT0903,,,,,Fall River,Nashua,
9/1/1946,Sun,1:30pm,Portland,0,Lawrence,16,,Game1,BG March 17; TSN May 16,,PJ0902 BG0902,,,,,,Lawrence,Portland,
9/1/1946,Sun,,Portland,8,Lawrence,3,7,Game2,,MAKEUP,PJ0902 BG0902,,,,,Scheduled 7-inning game,Portland,Lawrence,
9/1/1946,Sun,6:15pm,Lynn,0,Manchester,2,7,Game1,BG March 17; TSN May 16,,PJ0902 BG0902,,,,,Scheduled 7-inning game,Manchester,Lynn,
9/1/1946,Sun,,Lynn,3,Manchester,7,,Game2,,MAKEUP,PJ0902 BG0902,,,,,,Manchester,Lynn,
9/2/1946,Mon,6:30pm,Portland,0,Pawtucket,1,7,Game1,BG March 17; TSN May 16,,,PJ0903 PT0903,,,,Scheduled 7-inning game,Pawtucket,Portland,
9/2/1946,Mon,,Portland,12,Pawtucket,0,,Game2,BG March 17; TSN May 16,,,PJ0903 PT0903,,,,,Portland,Pawtucket,
9/2/1946,Mon,6:30pm,Lynn,10,Nashua,3,7,Game1,BG March 17; TSN May 16,,PJ0903,NT0903,,,,Scheduled 7-inning game,Lynn,Nashua,
9/2/1946,Mon,,Lynn,3,Nashua,13,,Game2,BG March 17; TSN May 16,,PJ0903,NT0903,,,,,Nashua,Lynn,
9/2/1946,Mon,7pm,Fall River,5,Lawrence,2,7,Game1,BG March 17; TSN May 16,,PJ0903,,,,,Scheduled 7-inning game,Fall River,Lawrence,
9/2/1946,Mon,,Fall River,3,Lawrence,15,,Game2,BG March 17; TSN May 16,,PJ0903cutoff,,,,,,Lawrence,Fall River,
9/2/1946,Mon,2pm,Providence,1,Manchester,3,7,Game1,BG March 17; TSN May 16,,,PJ0903,,,,Scheduled 7-inning game,Manchester,Providence,
9/2/1946,Mon,,Providence,4,Manchester,3,7,Game2,BG March 17; TSN May 16,,,PJ0903,,,,Scheduled 7-inning game,Providence,Manchester,
,,,,,,,,,,,,,,,,,,,
,,,,2320,,2627,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
